"CPUE_File","Stock","Name","EnglishName","ScientificName","StartYear","EndYear","Resilience","r.low","r.hi","Bk.yr","Bk.pr","Bk.pr.low","Bk.pr.hi","e.creep","Comment","Source","MSY.BSM","MSY.BSM.lcl","MSY.BSM.ucl","r.BSM","r.BSM.lcl","r.BSM.ucl","k.BSM","k.BSM.lcl","k.BSM.ucl","B_Bmsy","B_Bmsy.lcl","B_Bmsy.ucl","F_Fmsy","F_Fmsy.lcl","F_Fmsy.ucl"
"EU_Stocks_CPUE_1.csv","nep-7","Norway lobster in Division IVa, FU 7 (Northern North Sea, Fladen Ground)","NA","Nephrops norvegicus",2004,2015,"Medium",0.34,0.78,2004,"About half","NA","NA","NA",,,9.2,7.89,10.74,0.56,0.46,0.68,65.92,57.31,75.82,0.2,0.03,0.39,2.37,1.19,16.22
"EU_Stocks_CPUE_1.csv","nep-9","Norway lobster in Division IVb, FU 9 (Central North Sea, Moray Firth)","NA","Nephrops norvegicus",1993,2015,"Medium",0.34,0.78,1993,"About half","NA","NA","NA",,,1.37,1.24,1.51,0.6,0.51,0.71,9.09,7.91,10.45,0.59,0.05,0.79,1.01,0.75,11.3
"EU_Stocks_CPUE_1.csv","Neph-IXa","Nephrops in Division Ixa","NA","Nephrops norvegicus",1990,2013,"Medium",0.34,0.78,1990,"Near unexploited","NA","NA","NA",,,0.64,0.54,0.76,0.37,0.3,0.47,6.84,5.98,7.81,0.19,0.03,0.39,4.53,2.16,31.32
"EU_Stocks_CPUE_1.csv","Neph-VIIIc","Nephrops in Division VIIIc (North Galicia and Cantabrian Sea, FUs 25 and 31)","NA","Nephrops norvegicus",1975,2013,"Medium",0.34,0.78,1975,"Small","NA","NA","NA",,,0.47,0.34,0.64,0.52,0.38,0.7,3.61,3.1,4.21,0.09,0.03,0.19,2.07,0.94,6.75
"EU_Stocks_CPUE_1.csv","NEPRNOR_IS","Norway lobster in Ionian Sea","NA","Nephrops norvegicus",1994,2010,"Medium",0.34,0.78,1994,"About half","NA","NA","NA",,,1.9,1.66,2.18,0.53,0.44,0.64,14.39,12.53,16.51,0.39,0.05,0.59,3,1.98,21.85
"EU_Stocks_CPUE_1.csv","Octo_vul_AD","Common octopus in Adriatic Sea","NA","Octopus vulgaris",1995,2013,"High",0.53,1.21,1995,"Small","NA","NA","NA",,,1.72,1.45,2.05,0.94,0.78,1.13,7.34,6.48,8.31,0.2,0.02,0.56,2.26,0.78,17.69
"EU_Stocks_CPUE_1.csv","OCTOVUL_IS","Common octopus in Ionian Sea","NA","Octopus vulgaris",1994,2010,"High",0.53,1.21,1994,"Small","NA","NA","NA",,,4.92,4.2,5.76,1.04,0.91,1.19,18.93,16.6,21.6,0.58,0.31,0.79,0.59,0.43,1.09
"EU_Stocks_CPUE_1.csv","Page_ery_AD","Common pandora in Adriatic Sea","NA","Pagellus erythrinus",1994,2013,"Medium",0.31,0.78,1994,"Very small","NA","NA","NA",,,0.56,0.44,0.72,0.81,0.63,1.06,2.76,2.36,3.22,0.18,0.03,0.56,1.58,0.51,10.47
"EU_Stocks_CPUE_1.csv","Pan_bor_1","Northern shrimp in Arnarfjordur","NA","Pandalus borealis",1988,2013,"Medium",0.38,0.87,1988,"About half","NA","NA","NA",,,0.66,0.61,0.73,0.76,0.65,0.89,3.48,3.04,3.98,0.31,0.04,0.59,1.6,0.83,12.38
"EU_Stocks_CPUE_1.csv","Pan_bor_2","Northern shrimp in Isafjardardjup","NA","Pandalus borealis",1990,2013,"Medium",0.38,0.87,1990,"Small","NA","NA","NA",,,3,2.51,3.59,0.87,0.7,1.07,13.88,11.97,16.09,0.25,0.02,0.77,2.83,0.92,28.59
